ZINC_ID,SMILES,receptor,PDB_ID,IC50,pIC50,definition,pIC50_Training,residual_Training,pIC50_CV,residual_CV,pIC50_Ext-cpx,residual_Ext-cpx,pIC50_Ext-cpd,residual_Ext-cpd,MW,ALogP,Publication_DOI
4982,COc1ccc(cc1OC2CCCC2)[C@H]3CC(=O)NC3,PDE4B,3O0J,500,6.3,Training,6.317481718,0.017481718,6.3548,0.0548,,,,,275.1521435,-2.3028,10.1021/jm060904g
21914,CCc1c2c(n(n1)C3CCCC3)-c4nnc(n4CC2)c5cccs5,PDE4B,3O0J,13,7.89,Training,7.93155895,0.04155895,7.9,0.01,,,,,339.1517667,-0.5549,10.1021/jm060904g
22075,COc1ccc(cc1OC2CCCC2)C(=O)NCC(=O)NO,PDE4B,3O0J,17.9,7.75,Training,7.825975161,0.075975161,7.932,0.182,,,,,308.1372217,-3.34,10.1021/jm970685m
592419,c1cc(c(cc1C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3)OC(F)F,PDE4B,3O0J,0.4,9.4,Training,9.269920262,-0.130079738,9.0876,-0.3124,,,,,402.0349541,1.6865,10.1016/j.bmcl.2012.03.026
599006,COc1ccc(cc1OC2CCCC2)[C@H](Cc3ccncc3)c4ccccc4,PDE4B,3O0J,1.4,8.85,Training,8.82836799,-0.02163201,8.6556,-0.1944,,,,,373.2041791,-1.218,10.1016/j.bmcl.2005.08.036
840571,CCc1c2c(n(n1)C3CCCC3)-c4nnc(n4CC2)c5ccccc5Cl,PDE4B,3O0J,20,7.7,Training,7.700821084,0.000821084,7.8455,0.1455,,,,,367.1563734,-0.4012,10.1021/jm060904g
1553121,c1cc(c[n+](c1)[O-])C[C@@H](c2ccc(c(c2)OC3CC3)OC(F)F)c4cnc(s4)C(C(F)(F)F)(C(F)(F)F)[O-],PDE4B,3O0J,0.4,9.4,Training,9.267463847,-0.132536153,9.3176,-0.0824,,,,,569.0781288,1.5924,10.1016/j.bmcl.2005.08.036
3812216,COc1ccc(cc1OC2CCCC2)C3=NO[C@H](C3)C(=O)NO,PDE4B,3O0J,2.1,8.68,Training,8.623710728,-0.056289272,8.4743,-0.2057,,,,,320.1372217,-2.8854,10.1021/jm970685m
3812219,C[C@@]1(CC(=NO1)c2ccc(c(c2)OC3CCCC3)OC)C(=O)NO,PDE4B,3O0J,10.9,7.96,Training,7.786304415,-0.173695585,7.6121,-0.3479,,,,,334.1528718,-2.5737,10.1021/jm970685m
3818556,C1CCC(CC1)CCC[C@H](CC(=O)NO)c2nc(no2)C(=O)N,PDE4B,3O0J,1500,5.82,Training,5.907303923,0.087303923,6.3409,0.5209,,,,,324.1797552,-2.591,10.1016/j.bmcl.2008.10.036
13777052,C[C@@H](C(=O)NO)NC(=O)c1ccc(c(c1)OC2CCCC2)OC,PDE4B,3O0J,22.2,7.65,Training,7.527165986,-0.122834014,7.5514,-0.0986,,,,,322.1528718,-3.244,10.1021/jm970685m
26728631,CCOc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4B,3O0J,70,7.15,Training,7.258190483,0.108190483,7.253,0.103,,,,,480.2260367,-0.3192,10.1016/S0960-894X(98)00508-3
26729890,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)NCCCO,PDE4B,3O0J,340,6.47,Training,6.660067296,0.190067296,6.9297,0.4597,,,,,509.2525858,-1.6633,10.1016/S0960-894X(98)00508-3
26730507,Cc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OC,PDE4B,3O0J,650,6.19,Training,6.145718579,-0.044281421,6.2436,0.0536,,,,,420.2049074,0.0729,10.1016/S0960-894X(98)00508-3
26733111,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OC,PDE4B,3O0J,110,6.96,Training,6.873580368,-0.086419632,6.8032,-0.1568,,,,,466.2103867,-0.5696,10.1016/S0960-894X(98)00508-3
26735077,CCCCc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4B,3O0J,300,6.52,Training,6.70297577,0.18297577,6.72,0.2,,,,,492.2624223,-1.3305,10.1016/S0960-894X(98)00508-3
26736103,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OCCO,PDE4B,3O0J,80,7.1,Training,7.176308395,0.076308395,7.1302,0.0302,,,,,496.2209514,-1.109,10.1016/S0960-894X(98)00508-3
26739422,CCSc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4B,3O0J,440,6.36,Training,6.255606451,-0.104393549,6.193,-0.167,,,,,496.2031931,0.4255,10.1016/S0960-894X(98)00508-3
26741764,CCc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCC6CC6,PDE4B,3O0J,600,6.22,Training,6.219921299,-7.87E-05,6.5071,0.2871,,,,,474.2518576,-0.1007,10.1016/S0960-894X(98)00508-3
28529186,Cc1ccc(nc1)/C(=C/c2cccc(c2)c3cc(cc4c3nccc4)C(C)C)/c5ccc(cc5)S(=O)(=O)C,PDE4B,3O0J,0.2,9.7,Training,9.806944826,0.106944826,9.8242,0.1242,,,,,518.2027992,1.1642,10.1016/j.bmcl.2005.08.036
28529343,CC(C)c1cc2cccnc2c(c1)c3cccc(c3)/C=C(\c4ccc(cc4)S(=O)(=O)C)/c5nccs5,PDE4B,3O0J,0.3,9.52,Training,9.485103959,-0.034896041,9.5062,-0.0138,,,,,510.1435701,1.1128,10.1016/j.bmcl.2005.08.036
28529386,c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)c3cc(cc4c3nccc4)Cc5ccncc5,PDE4B,3O0J,3,8.52,Training,8.641889271,0.121889271,8.6818,0.1618,,,,,451.1354479,-0.4803,10.1016/j.bmcl.2005.08.036
28529505,C[C@H](c1cc2cccnc2c(c1)c3cccc(c3)/C=C(\c4ccc(cc4)S(=O)(=O)C)/c5ncc(s5)C(C)(C)O)S(=O)(=O)C,PDE4B,3O0J,1.1,8.96,Training,8.762381995,-0.197618005,8.6452,-0.3148,,,,,632.1473351,0.3517,10.1016/j.bmcl.2005.08.036
28529519,Cc1nc(on1)/C(=C/c2cccc(c2)c3cc(cc4c3nccc4)C(C)C)/c5ccccn5,PDE4B,3O0J,0.3,9.52,Training,9.442353289,-0.077646711,9.3273,-0.1927,,,,,432.1950114,0.7423,10.1016/j.bmcl.2005.08.036
28529543,CC(C)c1cc2cccnc2c(c1)c3cccc(c3)/C=C(\c4ccc(cc4)S(=O)(=O)C)/C(=O)NC(C)C,PDE4B,3O0J,0.3,9.52,Training,9.393950866,-0.126049134,9.2881,-0.2319,,,,,512.2133639,-0.0604,10.1016/j.bmcl.2005.08.036
28529813,COc1cccc(c1)c2cc(cc3c2nccc3)Cc4ccncc4,PDE4B,3O0J,2.3,8.64,Training,8.745567831,0.105567831,8.5373,-0.1027,,,,,326.1419132,0.4044,10.1016/j.bmcl.2005.08.036
28529822,CC(C)c1cc2cccnc2c(c1)c3cccc(c3)/C=C(/c4ccc(cc4)C(C)(C)O)\c5ccc(cc5)S(=O)(=O)C,PDE4B,3O0J,0.3,9.52,Training,9.465567214,-0.054432786,9.4192,-0.1008,,,,,561.233765,0.656,10.1016/j.bmcl.2005.08.036
28529829,CC(C)c1cc2cccnc2c(c1)c3cccc(c3)/C=C(\c4ccc(cc4)S(=O)(=O)C)/C(=O)[O-],PDE4B,3O0J,0.3,9.52,Training,9.43354604,-0.08645396,9.4504,-0.0696,,,,,470.1426042,-0.3954,10.1016/j.bmcl.2005.08.036
28530105,CC(C)NC(=O)/C(=C\c1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)C#N)/c4ccc(cc4)S(=O)(=O)C,PDE4B,3O0J,0.4,9.4,Training,9.409319887,0.009319887,9.5127,0.1127,,,,,537.2086129,0.3156,10.1016/j.bmcl.2005.08.036
34000720,CC(C)(CC(=O)[O-])c1ccc(cc1)c2cccc(c2)n3cc(c(=O)c4c3nccc4)C(=O)NC5CC5,PDE4B,3O0J,0.85,9.07,Training,9.020629672,-0.049370328,8.9384,-0.1316,,,,,480.1923313,-1.4804,10.1016/j.bmcl.2010.09.087
34027294,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4CC4)C#Cc5ccc[n+](c5)[O-],PDE4B,3O0J,5.1,8.29,Training,8.416718985,0.126718985,8.5552,0.2652,,,,,422.1378904,-1.3133,10.1016/j.bmcl.2010.09.087
34636131,Cc1c2c(c3c4c(c(ncn4)NCCN5CCOCC5)sc3n1)CC(CC2)(C)C,PDE4B,3O0J,37,7.43,Training,7.47087402,0.04087402,7.5132,0.0832,,,,,411.2092815,2.0336,10.1021/jm100524j
34778276,CC(C)Nc1c2c(c3c4c(c(ncn4)NCCN5CCOCC5)oc3n1)CC(CC2)(C)C,PDE4B,3O0J,0.2,9.7,Training,9.504704613,-0.195295387,9.3446,-0.3554,,,,,438.2743243,0.4812,10.1016/j.ejmech.2011.07.054
34986644,CC(C)Nc1c2c(c3c4c(c(ncn4)NCCCN5CCCC5=O)oc3n1)CC(CC2)(C)C,PDE4B,3O0J,0.1,10,Training,10.05315225,0.05315225,10.1308,0.1308,,,,,450.2743243,-0.5887,10.1016/j.ejmech.2011.07.054
35998562,CC1(CCc2c(c3c4c(c(ncn4)NCc5ccncc5)sc3nc2N6CCOCC6)C1)C,PDE4B,3O0J,11,7.96,Training,8.095503162,0.135503162,8.1883,0.2283,,,,,460.2045305,1.5825,10.1021/jm100524j
36268782,C[C@H](c1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)S(=O)(=O)C)N(c4ccc(cc4)S(=O)(=O)C)C(=O)C,PDE4B,3O0J,4.2,8.38,Training,8.345128404,-0.034871596,8.3757,-0.0043,,,,,564.1752641,-0.6757,10.1016/j.bmcl.2006.02.043
36268810,CC(C)(c1cc2cccnc2c(c1)c3cccc(c3)NC(=O)c4ccc(cc4)S(=O)(=O)C)S(=O)(=O)C,PDE4B,3O0J,1.2,8.92,Training,8.906761206,-0.013238794,8.8247,-0.0953,,,,,522.1283139,-0.6865,10.1016/j.bmcl.2006.02.043
36268818,CC(C)NC(=O)N(Cc1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)S(=O)(=O)C)c4ccc(cc4)S(=O)(=O)C,PDE4B,3O0J,0.1,10,Training,9.979420722,-0.020579278,9.6951,-0.3049,,,,,593.2018132,-0.6156,10.1016/j.bmcl.2006.02.043
36268824,CC(C)OC(=O)N(Cc1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)C#N)c4ccc(cc4)S(=O)(=O)C,PDE4B,3O0J,0.3,9.52,Training,9.602663149,0.082663149,9.473,-0.047,,,,,541.2035275,0.6058,10.1016/j.bmcl.2006.02.043
36268827,CC(C)(c1cc2cccnc2c(c1)c3cccc(c3)C(=O)N)S(=O)(=O)C,PDE4B,3O0J,40,7.4,Training,7.363837883,-0.036162117,7.7836,0.3836,,,,,368.1194635,-0.3636,10.1016/j.bmcl.2006.02.043
36268831,CC(C)(c1cc2cccnc2c(c1)c3cccc(c3)C(=O)Nc4ccccc4)S(=O)(=O)C,PDE4B,3O0J,5.9,8.23,Training,8.181672069,-0.048327931,8.3463,0.1163,,,,,444.1507636,-0.3636,10.1016/j.bmcl.2006.02.043
36268843,CC(C)(c1cc2cccnc2c(c1)c3cccc(c3)C(=O)Nc4c(cncc4Cl)Cl)S(=O)(=O)C,PDE4B,3O0J,0.4,9.4,Training,9.322259263,-0.077740737,9.1414,-0.2586,,,,,513.0680679,1.125,10.1016/j.bmcl.2006.02.043
36268854,CC(C)NC(=O)N(Cc1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)C#N)c4ccc(cc4)S(=O)(=O)C,PDE4B,3O0J,0.1,10,Training,10.02500212,0.02500212,9.9588,-0.0412,,,,,540.2195119,0.0621,10.1016/j.bmcl.2006.02.043
36412753,c1cc(cc(c1)[C@H]2C[C@H]2C(=O)[O-])c3cccc(c3)n4cc(c(=O)c5c4nccc5)C(=O)NC6CC6,PDE4B,3O0J,0.54,9.27,Training,9.11505519,-0.15494481,9.0247,-0.2453,,,,,464.1610312,-2.546,10.1016/j.bmcl.2010.09.087
36413737,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4CC4)c5ccc(c(c5)F)[C@@H]6C[C@H]6C(=O)[O-],PDE4B,3O0J,0.53,9.28,Training,9.246614229,-0.033385771,9.1831,-0.0969,,,,,482.1516094,-2.0663,10.1016/j.bmcl.2010.09.087
38377587,C[C@H](c1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)S(=O)(=O)C)N(c4ccc(cc4)S(=O)(=O)C)C(=O)c5ccc(cc5)C(C)(C)O,PDE4B,3O0J,0.4,9.4,Training,9.310656154,-0.089343846,9.2602,-0.1398,,,,,684.232779,-0.5518,10.1016/j.bmcl.2006.02.043
38377588,C[C@H](c1cccc(c1)c2cc(cc3c2nccc3)C(C)(C)S(=O)(=O)C)N(c4ccc(cc4)S(=O)(=O)C)C(=O)c5ccc(cc5)F,PDE4B,3O0J,0.6,9.22,Training,9.304738896,0.084738896,9.3571,0.1371,,,,,644.1814924,-0.2059,10.1016/j.bmcl.2006.02.043
38431730,CC(C)(Cc1ccc(cc1)c2cccc(c2)n3cc(c(=O)c4c3nccc4)C(=O)NC5CC5)C(=O)[O-],PDE4B,3O0J,0.88,9.06,Training,9.164410614,0.104410614,9.2959,0.2359,,,,,480.1923313,-1.059,10.1016/j.bmcl.2010.09.087
43152219,CCNc1c2c(c3c4c(c(ncn4)NCCN5CCOCC5)oc3n1)CC(CC2)(C)C,PDE4B,3O0J,2.1,8.68,Training,8.774514722,0.094514722,8.7189,0.0389,,,,,424.2586743,0.7817,10.1016/j.ejmech.2011.07.054
43152220,CCNc1c2c(c3c4c(c(ncn4)NCCCN5CCCC5=O)oc3n1)CC(CC2)(C)C,PDE4B,3O0J,1.7,8.77,Training,8.984231737,0.214231737,8.7887,0.0187,,,,,436.2586743,-0.2882,10.1016/j.ejmech.2011.07.054
58575778,CC(C)(c1cc2cccnc2c(c1)c3cccc(c3)OC)S(=O)(=O)C,PDE4B,3O0J,11,7.96,Training,7.960225427,0.000225427,7.7005,-0.2595,,,,,355.1242145,0.2194,10.1016/j.bmcl.2010.07.076
64539826,CC1(CCc2c(c3c4c(c(ncn4)N(CCN5CCOCC5)CCO)sc3nc2N6CCOCC6)C1)C,PDE4B,3O0J,2.8,8.55,Training,8.520058714,-0.029941286,8.4065,-0.1435,,,,,526.2726101,1.4961,10.1021/jm100524j
64540184,CC1(Cc2c(c(nc3c2c4c(s3)c(ncn4)NCCN5CCOCC5)N(C)C)CO1)C,PDE4B,3O0J,45,7.35,Training,7.426565436,0.076565436,7.5153,0.1653,,,,,442.2150952,1.0895,10.1021/jm100524j
64540242,CC1(CCc2c(c3c4c(c(ncn4)NCCN5CCOCC5)sc3nc2c6ccoc6)C1)C,PDE4B,3O0J,2.9,8.54,Training,8.520955791,-0.019044209,8.5164,-0.0236,,,,,463.2041962,1.44,10.1021/jm100524j
72109111,c1ccc(c(c1)c2cccc(c2)n3cc(c(=O)c4c3nccc4)C(=O)NC5CC5)[C@H]6C[C@H]6C(=O)[O-],PDE4B,3O0J,4.6,8.34,Training,8.287440432,-0.052559568,8.2882,-0.0518,,,,,464.1610312,-2.546,10.1016/j.bmcl.2010.09.087
72109627,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4CC4)c5ccc(cc5)[C@@H]6C[C@H]6C(=O)[O-],PDE4B,3O0J,0.57,9.24,Training,9.098358255,-0.141641745,8.9848,-0.2552,,,,,464.1610312,-2.546,10.1016/j.bmcl.2010.09.087
72109631,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4CC4)c5ccc(cc5)[C@H]6C[C@H]6c7[n-]nnn7,PDE4B,3O0J,0.55,9.26,Training,9.275650605,0.015650605,8.8727,-0.3873,,,,,488.1834979,-1.7898,10.1016/j.bmcl.2010.09.087
72109854,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4CC4)c5ccc(c(c5)F)[C@H]6C[C@@H]6C(=O)[O-],PDE4B,3O0J,0.46,9.34,Training,9.357839986,0.017839986,9.5173,0.1773,,,,,482.1516094,-2.0663,10.1016/j.bmcl.2010.09.087
72109950,CC1(CC1)NC(=O)c2cn(c3c(c2=O)cccn3)c4cccc(c4)c5ccc(cc5)[C@H]6C[C@H]6C(=O)[O-],PDE4B,3O0J,0.58,9.24,Training,9.15985923,-0.08014077,9.2051,-0.0349,,,,,478.1766812,-1.2538,10.1016/j.bmcl.2010.09.087
72110033,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NCC(F)(F)F)c4ccc(cc4)[C@H]5C[C@H]5C(=O)[O-],PDE4B,3O0J,0.51,9.29,Training,9.315207908,0.025207908,9.2228,-0.0672,,,,,506.1327657,-0.8099,10.1016/j.bmcl.2010.09.087
72110175,CC(C)(C)NC(=O)c1cn(c2c(c1=O)cccn2)c3cccc(c3)c4ccc(cc4)[C@H]5C[C@H]5C(=O)[O-],PDE4B,3O0J,32,7.49,Training,7.678684347,0.188684347,7.9695,0.4795,,,,,480.1923313,-0.886,10.1016/j.bmcl.2010.09.087
72110179,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4(CC4)O)c5ccc(cc5)[C@H]6C[C@H]6C(=O)[O-],PDE4B,3O0J,17,7.77,Training,7.758339994,-0.011660006,8.1222,0.3522,,,,,480.1559458,-2.9359,10.1016/j.bmcl.2010.09.087
72110891,c1cc(cc(c1)n2cc(c(=O)c3c2nccc3)C(=O)NC4CCC4)c5ccc(cc5)[C@H]6C[C@H]6C(=O)[O-],PDE4B,3O0J,0.52,9.28,Training,9.28808641,0.00808641,9.288,0.008,,,,,478.1766812,-2.834,10.1016/j.bmcl.2010.09.087
72117048,CC1(CCc2c(c3c4c(c(ncn4)NCc5cccnc5)oc3nc2NCCO)C1)C,PDE4B,3O0J,24,7.62,Training,7.672007695,0.052007695,7.9225,0.3025,,,,,418.2117241,0.0748,10.1016/j.ejmech.2011.07.054
72118269,CCN(C)c1c2c(c3c4c(c(ncn4)NCCN5CCOCC5)oc3n1)CC(CC2)(C)C,PDE4B,3O0J,19,7.72,Training,7.80553537,0.08553537,7.9019,0.1819,,,,,438.2743243,1.3176,10.1016/j.ejmech.2011.07.054
4982,COc1ccc(cc1OC2CCCC2)[C@H]3CC(=O)NC3,PDE4D,2PW3,622,6.21,Training,6.176280419,-0.033719581,6.2523,0.0423,,,,,275.1521435,-2.3028,10.1021/jm060904g
21914,CCc1c2c(n(n1)C3CCCC3)-c4nnc(n4CC2)c5cccs5,PDE4D,2PW3,13,7.89,Training,7.830588559,-0.059411441,7.8481,-0.0419,,,,,339.1517667,-0.5549,10.1021/jm060904g
22075,COc1ccc(cc1OC2CCCC2)C(=O)NCC(=O)NO,PDE4D,2PW3,15.6,7.81,Training,7.880675423,0.070675423,7.997,0.187,,,,,308.1372217,-3.34,10.1021/jm970685m
592419,c1cc(c(cc1C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3)OC(F)F,PDE4D,2PW3,0.7,9.15,Training,9.169995968,0.019995968,9.0137,-0.1363,,,,,402.0349541,1.6865,10.1016/j.bmcl.2012.03.026
599006,COc1ccc(cc1OC2CCCC2)[C@H](Cc3ccncc3)c4ccccc4,PDE4D,2PW3,2.1,8.68,Training,8.705519592,0.025519592,8.6187,-0.0613,,,,,373.2041791,-1.218,10.1016/j.bmcl.2005.08.036
1553121,c1cc(c[n+](c1)[O-])C[C@@H](c2ccc(c(c2)OC3CC3)OC(F)F)c4cnc(s4)C(C(F)(F)F)(C(F)(F)F)[O-],PDE4D,2PW3,0.4,9.4,Training,9.343331277,-0.056668723,9.5337,0.1337,,,,,569.0781288,1.5924,10.1016/j.bmcl.2005.08.036
3812216,COc1ccc(cc1OC2CCCC2)C3=NO[C@H](C3)C(=O)NO,PDE4D,2PW3,2.7,8.57,Training,8.635556717,0.065556717,8.684,0.114,,,,,320.1372217,-2.8854,10.1021/jm970685m
3818556,C1CCC(CC1)CCC[C@H](CC(=O)NO)c2nc(no2)C(=O)N,PDE4D,2PW3,900,6.05,Training,5.846360288,-0.203639712,5.6709,-0.3791,,,,,324.1797552,-2.591,10.1016/j.bmcl.2008.10.036
13777052,C[C@@H](C(=O)NO)NC(=O)c1ccc(c(c1)OC2CCCC2)OC,PDE4D,2PW3,20.2,7.69,Training,7.530348271,-0.159651729,7.55,-0.14,,,,,322.1528718,-3.244,10.1021/jm970685m
26722891,CCc1nc2cc(ccc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OCCO,PDE4D,2PW3,850,6.07,Training,5.81533992,-0.25466008,5.8118,-0.2582,,,,,434.2205574,-0.7027,10.1016/S0960-894X(98)00508-3
26726089,Cc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OC(C)C)OC(C)C)OC)OC,PDE4D,2PW3,1200,5.92,Training,6.014573772,0.094573772,6.4984,0.5784,,,,,396.2049074,-0.2561,10.1016/S0960-894X(98)00508-3
26728272,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OCCCO,PDE4D,2PW3,130,6.89,Training,6.939366477,0.049366477,6.618,-0.272,,,,,510.2366014,-1.397,10.1016/S0960-894X(98)00508-3
26728631,CCOc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4D,2PW3,60,7.22,Training,7.221159266,0.001159266,7.1807,-0.0393,,,,,480.2260367,-0.3192,10.1016/S0960-894X(98)00508-3
26729890,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)NCCCO,PDE4D,2PW3,230,6.64,Training,6.661655697,0.021655697,6.6249,-0.0151,,,,,509.2525858,-1.6633,10.1016/S0960-894X(98)00508-3
26730507,Cc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OC,PDE4D,2PW3,800,6.1,Training,5.989592592,-0.110407408,6.1323,0.0323,,,,,420.2049074,0.0729,10.1016/S0960-894X(98)00508-3
26733111,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OC,PDE4D,2PW3,140,6.85,Training,6.820639786,-0.029360214,6.826,-0.024,,,,,466.2103867,-0.5696,10.1016/S0960-894X(98)00508-3
