ZINC_ID,definition,Leverage,Y_Stdnt_Residual
4982,Training,0.104061,0.167062
21914,Training,0.033078,0.382299
22075,Training,0.107366,0.727392
592419,Training,0.0629985,-1.21555
599006,Training,0.0728799,-0.203218
840571,Training,0.0430155,0.00759222
1553121,Training,0.0894442,-1.25636
3812216,Training,0.0862948,-0.532668
3812219,Training,0.0863522,-1.64374
3818556,Training,0.150327,0.856725
13777052,Training,0.133056,-1.19332
26728631,Training,0.0469619,1.00246
26729890,Training,0.0820246,1.79443
26730507,Training,0.114789,-0.425728
26733111,Training,0.0491596,-0.801664
26735077,Training,0.0419608,1.69097
26736103,Training,0.0557015,0.710316
26739422,Training,0.0626039,-0.975317
26741764,Training,0.0880431,-0.000745461
28529186,Training,0.0514832,0.993279
28529343,Training,0.0473529,-0.323403
28529386,Training,0.0607453,1.13765
28529505,Training,0.049778,-1.83378
28529519,Training,0.0396335,-0.716702
28529543,Training,0.0489033,-1.16913
28529813,Training,0.0539427,0.981763
28529822,Training,0.0391228,-0.502297
28529829,Training,0.037713,-0.797198
28530105,Training,0.0486515,0.086432
34000720,Training,0.0864013,-0.467221
34027294,Training,0.140525,1.2364
34636131,Training,0.0905069,0.387687
34778276,Training,0.0700524,-1.83188
34986644,Training,0.087124,0.50321
35998562,Training,0.109067,1.29856
36268782,Training,0.0698645,-0.327064
36268810,Training,0.0262572,-0.121356
36268818,Training,0.0582831,-0.191824
36268824,Training,0.0466406,0.765804
36268827,Training,0.0653808,-0.338353
36268831,Training,0.0380621,-0.445716
36268843,Training,0.039895,-0.717667
36268854,Training,0.0836696,0.236257
36412753,Training,0.0369966,-1.42823
36413737,Training,0.069396,-0.313049
38377587,Training,0.0867491,-0.845675
38377588,Training,0.0451661,0.784427
38431730,Training,0.032756,0.960308
43152219,Training,0.0668653,0.885036
43152220,Training,0.153996,2.10684
58575778,Training,0.0955271,0.00214409
64539826,Training,0.0341752,-0.275585
64540184,Training,0.0656583,0.716496
64540242,Training,0.0625802,-0.177922
72109111,Training,0.0303222,-0.482805
72109627,Training,0.0725483,-1.33039
72109631,Training,0.0516225,0.14537
72109854,Training,0.100551,0.170153
72109950,Training,0.0219,-0.732986
72110033,Training,0.0285075,0.23134
72110175,Training,0.0798733,1.77929
72110179,Training,0.0836842,-0.110182
72110891,Training,0.0295432,0.0742509
72117048,Training,0.114134,0.499824
72118269,Training,0.0378157,0.78877
4982,Training,0.113791,-0.324002
21914,Training,0.0356577,-0.547253
22075,Training,0.113618,0.679034
592419,Training,0.0602845,0.186586
599006,Training,0.0751758,0.240037
1553121,Training,0.0959774,-0.539123
3812216,Training,0.0940393,0.623012
3818556,Training,0.169187,-2.0209
13777052,Training,0.13614,-1.55377
26722891,Training,0.0962473,-2.42309
26726089,Training,0.128144,0.916183
26728272,Training,0.113955,0.474393
26728631,Training,0.0513991,0.0107665
26729890,Training,0.0878524,0.205104
26730507,Training,0.120884,-1.06515
26733111,Training,0.0513752,-0.272675
26735077,Training,0.0403677,1.36572
26736103,Training,0.067361,1.31854
26739422,Training,0.0634012,0.0133291
28529186,Training,0.057772,-0.526548
28529386,Training,0.064257,-1.7303
28529519,Training,0.0412298,1.35311
28529543,Training,0.0566812,1.08383
28529662,Training,0.0995174,0.635032
28529813,Training,0.0576846,0.722518
28529829,Training,0.0393762,0.619099
28530105,Training,0.0555482,0.0807029
34000720,Training,0.101454,-1.141
34027294,Training,0.159998,0.520273
34636131,Training,0.0958987,-0.593424
34778276,Training,0.0816394,1.2836
34986644,Training,0.0982756,-0.0349729
35985450,Training,0.59888,1.04834
35998562,Training,0.124521,0.334368
36268782,Training,0.0842506,0.564993
36268795,Training,0.133605,-1.22335
36268810,Training,0.033603,1.22725
36268818,Training,0.0642092,-0.606322
36268824,Training,0.0477945,0.216648
36268827,Training,0.0721677,1.30315
36268831,Training,0.0485499,0.419076
36268843,Training,0.0465915,0.132063
36268854,Training,0.0877196,0.0356504
36412753,Training,0.0376666,-1.22056
36413737,Training,0.0817695,-0.267319
38377587,Training,0.0924166,0.536582
38377588,Training,0.0516703,1.06614
38431730,Training,0.0373815,0.891567
43152219,Training,0.0729003,2.21072
43152220,Training,0.172606,0.818354
58575778,Training,0.0999796,-1.67443
64539826,Training,0.0352621,-1.91526
64540184,Training,0.0661764,-1.99194
64540242,Training,0.0677228,-0.0854973
72109111,Training,0.0282279,-0.584461
72109627,Training,0.0786355,-0.766304
72109631,Training,0.051624,0.412949
72109854,Training,0.117348,0.0563993
72109950,Training,0.0264712,-0.782851
72110033,Training,0.0307481,0.225915
72110175,Training,0.0882607,1.32729
72110179,Training,0.0966481,0.441773
72110891,Training,0.030143,0.224628
72117048,Training,0.131189,-1.16661
72118269,Training,0.03953,-0.777681
26722891,External-complex,0.093620356,-2.15382
26726089,External-complex,0.107571785,3.67834
26728272,External-complex,0.092621719,2.43674
28529662,External-complex,0.079135365,0.384438
35985450,External-complex,0.543514648,-1.468
36268795,External-complex,0.118780511,-1.65499
840571,External-complex,0.047485203,-3.14255
3812219,External-complex,0.091677284,-1.96777
26741764,External-complex,0.088600643,-1.52977
28529343,External-complex,0.046252094,-3.70587
28529505,External-complex,0.055624435,0.0278233
28529822,External-complex,0.041327654,0.0561451
28529556,External-compound,0.047352925,-0.315653
28529811,External-compound,0.099517362,0.421695
35090994,External-compound,0.062603935,-1.03475
35999278,External-compound,0.133056182,-1.38246
36268807,External-compound,0.069864533,-0.134521
36268834,External-compound,0.047352925,-0.315653
43152217,External-compound,0.051670326,1.49051
43152221,External-compound,0.051483185,0.967372
64540241,External-compound,0.069864533,-0.677253
64548397,External-compound,0.090506889,0.641093
28529556,External-compound,0.047352925,3.03119
28529811,External-compound,0.069864533,-0.134521
35090994,External-compound,0.092621719,2.07492
35999278,External-compound,0.046961873,0.435908
36268807,External-compound,0.091677284,-1.96777
36268834,External-compound,0.051670326,1.49051
43152217,External-compound,0.075175795,0.592659
43152221,External-compound,0.03014301,0.0403064
64540241,External-compound,0.084250598,1.17386
64548397,External-compound,0.113955248,0.17518