corr,r2,definition
-0.062756987,0.247849018,r2
0.081419745,0.105129448,r2
0.046516585,0.223641558,r2
-0.017849614,0.070382388,r2
0.095738846,0.080361908,r2
0.089765472,0.09960713,r2
0.118820384,0.096047883,r2
0.070015174,0.108521737,r2
-0.042118604,0.099632971,r2
-0.040637328,0.110851264,r2
0.016040514,0.093376628,r2
0.127087806,0.127070496,r2
-0.052308504,0.089837188,r2
-0.070069098,0.102944869,r2
-0.19933015,0.143705237,r2
0.117453046,0.073509201,r2
-0.082468986,0.074794608,r2
-0.01357347,0.157879044,r2
0.032620199,0.162434347,r2
-0.097795254,0.084481253,r2
0.007228623,0.132403274,r2
-0.112106035,0.057521458,r2
-0.100907554,0.11926513,r2
0.029694362,0.08716581,r2
-0.021592449,0.148685498,r2
0.060274002,0.075742821,r2
0.124323112,0.132339569,r2
-0.011775508,0.06597357,r2
0.120663265,0.189814023,r2
-0.088563308,0.076732247,r2
-0.104669588,0.109599569,r2
0.047700254,0.182391299,r2
-0.032431595,0.118875521,r2
-0.032554046,0.123892294,r2
-0.028679256,0.130237497,r2
0.019953971,0.173596491,r2
0.002712758,0.116144219,r2
0.125335403,0.08383581,r2
0.010720076,0.115372152,r2
0.180826396,0.183646062,r2
0.00640168,0.089481894,r2
-0.024632684,0.130719116,r2
-0.166441334,0.095301203,r2
0.220015087,0.080374811,r2
0.202332798,0.226565524,r2
-0.017920021,0.081293058,r2
-0.125448152,0.080925425,r2
-0.010572226,0.125203944,r2
0.000451126,0.107023161,r2
0.014081498,0.081152731,r2
0.012381026,0.09317374,r2
-0.00655346,0.074271647,r2
-0.074808165,0.100027062,r2
-0.076813356,0.106861476,r2
0.088468371,0.089691148,r2
0.033142133,0.068484997,r2
0.094314317,0.120795767,r2
0.051533309,0.054502163,r2
0.082677073,0.04848759,r2
-0.054635206,0.090362184,r2
-0.023668046,0.105085397,r2
-0.075410572,0.107612612,r2
-0.037054702,0.117419793,r2
0.054895453,0.062717067,r2
-0.176727805,0.186050777,r2
-0.005681895,0.085748493,r2
0.015913254,0.076707542,r2
0.014962499,0.124654595,r2
0.012302085,0.137319036,r2
0.06563267,0.098513317,r2
-0.045059108,0.129772658,r2
-0.020183903,0.130010717,r2
0.038611623,0.090024219,r2
0.029207977,0.123370385,r2
-0.052436258,0.05350558,r2
0.017125452,0.125483031,r2
0.154757083,0.072066836,r2
-0.001727915,0.104927444,r2
0.151184457,0.068178015,r2
-0.109340264,0.121543258,r2
0.064105072,0.071028016,r2
0.013453334,0.066653727,r2
0.121798057,0.044205413,r2
-0.038115624,0.073867915,r2
0.111336179,0.137657867,r2
-0.079936131,0.071629067,r2
-0.078071067,0.108893508,r2
0.068111855,0.074604538,r2
-0.050104114,0.087893021,r2
-2.93E-05,0.086525451,r2
0.095059818,0.10721046,r2
-0.004155764,0.092426091,r2
0.036811679,0.087790376,r2
-0.026651405,0.069952582,r2
0.146344771,0.068374592,r2
0.055649718,0.222286262,r2
-0.025405013,0.129398474,r2
-0.022393767,0.076248541,r2
-0.043328381,0.108374173,r2
0.106199417,0.107797606,r2
-0.062756987,0.047558779,q2
0.081419745,2.65E-05,q2
0.046516585,0.016090624,q2
-0.017849614,0.000127791,q2
0.095738846,0.003009776,q2
0.089765472,0.01771594,q2
0.118820384,0.004975055,q2
0.070015174,0.00288729,q2
-0.042118604,0.004214778,q2
-0.040637328,0.002936231,q2
0.016040514,0.009468037,q2
0.127087806,0.00061588,q2
-0.052308504,0.039451651,q2
-0.070069098,2.92E-08,q2
-0.19933015,3.98E-06,q2
0.117453046,0.002267692,q2
-0.082468986,0.003441472,q2
-0.01357347,0.024066651,q2
0.032620199,0.027845875,q2
-0.097795254,0.004952803,q2
0.007228623,6.36E-05,q2
-0.112106035,0.000919504,q2
-0.100907554,0.006315476,q2
0.029694362,0.02395031,q2
-0.021592449,0.006634821,q2
0.060274002,0.00358149,q2
0.124323112,0.007423746,q2
-0.011775508,0.000733964,q2
0.120663265,0.000746958,q2
-0.088563308,0.000480474,q2
-0.104669588,0.003331108,q2
0.047700254,0.015956276,q2
-0.032431595,0.063637659,q2
-0.032554046,0.005694038,q2
-0.028679256,0.002379388,q2
0.019953971,0.00443154,q2
0.002712758,0.001588608,q2
0.125335403,0.012963692,q2
0.010720076,0.013031779,q2
0.180826396,0.059619807,q2
0.00640168,0.006700431,q2
-0.024632684,0.011280211,q2
-0.166441334,0.001525744,q2
0.220015087,0.00687105,q2
0.202332798,0.017707833,q2
-0.017920021,0.098376268,q2
-0.125448152,0.000280842,q2
-0.010572226,0.055298035,q2
0.000451126,9.42E-05,q2
0.014081498,0.013647284,q2
0.012381026,0.001955126,q2
-0.00655346,0.029185723,q2
-0.074808165,0.000417864,q2
-0.076813356,0.014633465,q2
0.088468371,0.010206161,q2
0.033142133,0.001485185,q2
0.094314317,0.026725354,q2
0.051533309,0.000604511,q2
0.082677073,0.129810218,q2
-0.054635206,0.020394496,q2
-0.023668046,0.006920328,q2
-0.075410572,0.020174101,q2
-0.037054702,0.012458872,q2
0.054895453,0.00012752,q2
-0.176727805,0.004453455,q2
-0.005681895,0.003572233,q2
0.015913254,0.011913875,q2
0.014962499,0.008392416,q2
0.012302085,0.006119547,q2
0.06563267,0.005505647,q2
-0.045059108,0.005953284,q2
-0.020183903,0.000745241,q2
0.038611623,0.003937915,q2
0.029207977,0.008830704,q2
-0.052436258,0.006353673,q2
0.017125452,0.015483458,q2
0.154757083,0.000245044,q2
-0.001727915,0.019607205,q2
0.151184457,0.001371057,q2
-0.109340264,0.00359633,q2
0.064105072,0.000607696,q2
0.013453334,0.000420474,q2
0.121798057,0.000930019,q2
-0.038115624,0.004157274,q2
0.111336179,0.033539288,q2
-0.079936131,0.001571417,q2
-0.078071067,0.005982675,q2
0.068111855,0.004468708,q2
-0.050104114,0.00708292,q2
-2.93E-05,0.059927643,q2
0.095059818,0.014913339,q2
-0.004155764,0.000321657,q2
0.036811679,0.0359821,q2
-0.026651405,0.016015089,q2
0.146344771,0.068755708,q2
0.055649718,0.00522563,q2
-0.025405013,0.007826311,q2
-0.022393767,0.013641551,q2
-0.043328381,0.016009327,q2
0.106199417,0.001021429,q2